pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
55 Cnc e,55 Cnc,0.01544,1.875,7.99,6.66,0.05,2657.8322,1958.0,12.5855
AU Mic b,AU Mic,0.0649,3.95677019,20.12,1.32,0.00577,21.2,600.0,9.7221
AU Mic c,AU Mic,0.1108,2.52202066,9.6,1.22,0.00338,7.3,459.0,9.7221
Barnard b,Barnard's star,0.0229,0.72,0.299,4.4,0.03,6.76,438.0,1.82655
CoRoT-1 b,CoRoT-1,0.02752,16.7,327.35,0.38,0.0,2852.63,1898.0,787.909
CoRoT-10 b,CoRoT-10,0.1055,10.87,874.0,3.7,0.53,16.1089,600.0,338.386
CoRoT-11 b,CoRoT-11,0.0436,16.03,740.51,0.99,0.0,1890.649,1657.0,655.037
CoRoT-12 b,CoRoT-12,0.04016,16.14,291.438,0.411,0.07,661.1334,1442.0,1126.37
CoRoT-13 b,CoRoT-13,0.051,9.92,415.704,2.34,0.0,546.5339,1700.0,1148.93
CoRoT-19 b,CoRoT-19,0.0518,14.46,352.78,0.71,0.047,1103.809,2000.0,790.663
CoRoT-4 b,CoRoT-4,0.09,13.34,228.83,0.525,0.0,203.9517,1074.0,726.412
CoRoT-5 b,CoRoT-5,0.04947,15.558,148.42,0.217,0.09,786.2949,1438.0,882.472
EPIC 201595106 b,EPIC 201595106,0.0177,1.565,7.67,11.1,0.0,2852.0,2038.0,232.1
EPIC 211822797 b,EPIC 211822797,0.1195,1.92,4.35,3.38,0.06,3.5,431.0,186.197
EPIC 211945201 b,EPIC 211945201,0.1493,5.76,27.0,0.65,0.0,31.9085,817.0,181.69
EPIC 220674823 c,EPIC 220674823,0.1073,2.84,7.32,1.72,0.17,70.0,804.0,244.59
EPIC 229004835 b,EPIC 229004835,0.1237,2.332,10.4,4.49,0.23,69.7,804.0,121.971
EPIC 249893012 b,EPIC 249893012,0.047,1.95,8.75,6.39,0.06,1037.0,1616.0,321.296
EPIC 249893012 c,EPIC 249893012,0.13,3.67,14.67,1.62,0.07,160.0,990.0,321.296
EPIC 249893012 d,EPIC 249893012,0.22,3.94,10.18,0.91,0.15,53.0,752.0,321.296
G 192-15 b,G 192-15,0.01723,1.02,1.03,5.33,0.0,7.06,453.6,9.53114
G 192-15 c,G 192-15,1.137,3.87,14.3,1.36,0.676,0.0016,55.9,9.53114
G 261-6 b,G 261-6,0.02971,1.1,1.37,5.66,0.0,1.8,322.3,10.6267
G 9-40 b,G 9-40,0.0418,1.9,4.0,3.2,0.0,6.27,440.6,27.9276
GJ 1132 b,GJ 1132,0.0157,1.19151465,1.83704819,5.97,0.0118,19.3,583.8,12.613
GJ 1214 b,GJ 1214,0.01505,2.733,8.41,2.26,0.0062,17.2,567.0,14.6427
GJ 1252 b,GJ 1252,0.00915,1.193,1.32,4.2,0.0,233.0,1089.0,20.373
GJ 143 b,GJ 143,0.1915,2.61,22.7,7.0,0.188,10.8612,422.0,16.32
GJ 251 b,GJ 251,0.0818,1.83,4.0,3.59,0.1,2.53,351.0,5.58057
GJ 3090 b,GJ 3090,0.03165,2.13,3.34,1.89,0.32,23.0419,693.0,22.4751
GJ 3470 b,GJ 3470,0.0355,4.57,13.9,0.8,0.017,29.6584,593.5,29.4214
GJ 3473 b,GJ 3473,0.01589,1.264,1.86,5.03,0.0,59.4,773.0,27.3644
GJ 3473 c,GJ 3473,0.0876,2.63,7.41,2.24,0.0,1.95,329.1,27.3644
GJ 367 b,GJ 367,0.00709,0.699,0.633,10.2,0.06,579.0,1365.0,9.41263
GJ 3929 b,GJ 3929,0.0252,1.09,1.75,7.3,0.0,17.3,568.0,15.8095
GJ 3929 c,GJ 3929,0.081,2.26,5.71,2.72,0.0,1.68,317.0,15.8095
GJ 3988 b,GJ 3988,0.0405,1.74,3.69,3.85,0.0,2.45,348.0,9.9105
GJ 411 b,GJ 411,0.07879,1.45,2.69,4.85,0.063,3.13,349.83,5.675773
GJ 436 b,GJ 436,0.0291,4.17,22.1,1.8,0.13827,29.4322,686.0,9.75321
GJ 486 b,GJ 486,0.01714,1.289,2.77,6.66,0.00086,39.2,696.3,8.07426
GJ 514 b,GJ 514,0.422,2.13,5.2,2.96,0.45,0.28,202.0,7.61778
GJ 724 b,GJ 724,0.04685,3.27,10.75,1.69,0.577,23.32,611.0,16.9658
GJ 740 b,GJ 740,0.029,1.53,2.96,4.54,0.24,79.0,829.0,11.1017
GJ 887 b,GJ 887,0.068,1.88,4.2,3.47,0.0,7.95,468.0,3.29
GJ 9827 b,GJ 9827,0.0189,1.44,4.28,7.858,0.0,318.0,1035.01,29.661
GJ 9827 c,GJ 9827,0.0395,1.13,1.86,7.142,0.0,73.0,715.94,29.661
GJ 9827 d,GJ 9827,0.053,1.98,3.02,2.69,0.0,34.9,675.0,29.661
Gliese 12 b,Gliese 12,0.0668,0.958,3.87,17.7,0.5,1.62,314.6,12.21
HAT-P-1 b,HAT-P-1,0.05561,14.784671,166.86075,0.282,0.0,259.687,1322.0,158.979
HAT-P-11 b,HAT-P-11,0.05258,4.36,25.0,1.172,0.251,100.77,838.0,37.7647
HAT-P-12 b,HAT-P-12,0.0384,10.749,67.059,0.3192,0.0,118.075,963.0,142.751
HAT-P-13 b,HAT-P-13,0.04383,14.258,270.462,0.362,0.0133,1978.5245,1740.0,246.81
HAT-P-15 b,HAT-P-15,0.0965,11.88154,616.5902,1.96,0.19,79.7578,904.0,192.516
HAT-P-17 b,HAT-P-17,0.0882,11.76945,184.3414,0.64,0.35,110.512,792.0,92.3831
HAT-P-18 b,HAT-P-18,0.0559,11.153,62.61,0.25,0.084,82.2407,852.0,161.4
HAT-P-19 b,HAT-P-19,0.04599,11.29865255,88.03846874,0.335,0.07,154.0,981.2,202.078
HAT-P-22 b,HAT-P-22,0.0414,12.89035,785.0401,2.14,0.02,325.569,1463.0,81.7647
HAT-P-23 b,HAT-P-23,0.0232,15.334,664.237,1.01,0.106,2796.2342,2056.0,364.813
HAT-P-24 b,HAT-P-24,0.04651,14.5717,238.3725,0.44,0.07,1294.929,1637.0,415.344
HAT-P-25 b,HAT-P-25,0.0466,12.722215,180.84527,0.483,0.023,325.0,1182.0,300.384
HAT-P-26 b,HAT-P-26,0.0479,7.06167,22.2481,0.4,0.12,185.0743,1001.0,141.837
HAT-P-27 b,HAT-P-27,0.04,11.43,197.05,0.76,0.0,336.0384,1091.99,199.173
HAT-P-28 b,HAT-P-28,0.0434,13.585,198.953,0.44,0.051,554.7122,1384.0,401.319
HAT-P-29 b,HAT-P-29,0.0667,13.11453,279.6904,0.79,0.09,433.0,1271.0,313.576
HAT-P-3 b,HAT-P-3,0.03866,10.53646,206.5895,0.855,0.0,176.587,1189.0,134.554
HAT-P-30 b,HAT-P-30,0.0419,16.14096,263.7989,0.309,0.04,1467.9573,1630.0,213.985
HAT-P-31 b,HAT-P-31,0.061,12.21781,721.4741,2.18,0.25,746.9025,1450.0,344.05
HAT-P-35 b,HAT-P-35,0.04978,14.930388,335.62848,0.55,0.02,999.6688,1581.0,506.965
HAT-P-36 b,HAT-P-36,0.0241,14.313893,587.413406,1.175,0.063,1821.0,1780.97,294.419
HAT-P-37 b,HAT-P-37,0.0379,13.204,371.528,0.89,0.058,412.3914,1271.0,390.594
HAT-P-38 b,HAT-P-38,0.0523,9.247,84.857,0.59,0.067,243.0337,1082.0,255.206
HAT-P-39 b,HAT-P-39,0.0509,17.609,190.372,0.19,0.0,1915.6934,1752.0,697.004
HAT-P-4 b,HAT-P-4,0.04438,14.28,213.255,0.403,0.0,1438.0,1686.0,320.451
HAT-P-40 b,HAT-P-40,0.0608,17.03768,152.5584,0.15,0.0,1747.4151,1770.0,464.469
HAT-P-42 b,HAT-P-42,0.0575,14.348,331.801,0.61,0.0,684.0973,1428.0,405.238
HAT-P-43 b,HAT-P-43,0.0444,13.63,210.395,0.39,0.0,521.877,1353.0,528.825
HAT-P-44 b,HAT-P-44,0.0507,13.922,111.871,0.23,0.044,185.119,1108.0,347.85
HAT-P-45 b,HAT-P-45,0.0452,15.984,283.492,0.38,0.049,1052.239,1652.0,298.64
HAT-P-46 b,HAT-P-46,0.0577,14.392,156.684,0.28,0.123,1405.4798,1458.0,290.736
HAT-P-5 b,HAT-P-5,0.04073,13.56289,311.4734,0.642,0.0,850.6754,1539.0,303.336
HAT-P-50 b,HAT-P-50,0.0453,14.437192,429.0705,0.78,0.115,2108.4362,1862.0,515.458
HAT-P-51 b,HAT-P-51,0.05042,13.50682174,97.57332095,0.218,0.07,310.0,1168.2,440.089
HAT-P-52 b,HAT-P-52,0.03694,11.309881,259.98494,0.98,0.047,227.759,1218.0,361.155
HAT-P-53 b,HAT-P-53,0.03159,14.773462,471.65972,0.8,0.134,1611.53,1778.0,666.802
HAT-P-54 b,HAT-P-54,0.04117,10.581296,241.5508,1.118,0.074,88.6713,818.0,143.651
HAT-P-55 b,HAT-P-55,0.04628,14.84069045,189.42573057,0.318,0.17,583.0,1367.0,511.388
HAT-P-56 b,HAT-P-56,0.0423,16.92559,734.1873,0.75,0.29,3515.0,1840.0,320.639
HAT-P-57 b,HAT-P-57,0.0406,19.50366,448.1403,0.332,0.0,2726.6328,2200.0,279.86
HAT-P-58 b,HAT-P-58,0.04994,14.93036229,118.2321674,0.194,0.073,1146.0,1622.0,515.59
